"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6"
"humancingidm16porta1secc1somacel9",0.552216669712362,2.76639586931974,3.1082124873432,3.26238099088648,3.469439213443,2.63727231214422,1.91069654127666,-1.56838807975597,2.60185305470744,1.68419044765289,-2.66585730047721,0.818552453040766,0.18490761503555,-0.997384361657464,-0.997361931579333,-0.996744890408102,-0.964870110709456,-0.867242404383104,-0.880809141313387,3.25984998505638,5.16065361087327,6.4192800158527,6.74468322042933,5.57593974691353,3.23445308683201,3.40514901140842,5.64817936259579,7.40140577638074,8.85241163413773,9.67992778862524,6.49116358651476,-1.08003325461702,-0.9253539769609,-1.30848215563034,-1.27989371087053,-1.88599680622821,-2.72955310941096,1.41340786475631,1.51917260388731,1.52937817356886,1.5324982207884,1.52959744798784,1.38207154870192
"humancingidm16porta1secc2somacel1",0.0822365967320512,3.13176560703717,3.3984149693751,3.56545789641131,3.5149949063747,3.02584512834463,1.87949860359248,1.65296999236737,1.88256995807874,0.52208351759604,0.754116380752157,-1.3520194821097,1.6825834301934,-0.811473733875567,-0.994920483219653,-0.997852587700495,-0.990350396822044,-0.979908564830733,-0.612420485508312,3.27253810060973,5.27111046770429,6.39552377949431,6.51641014967004,5.60669460028106,3.50705413441782,3.48040710588095,5.76701915786658,7.34564477510144,8.49272387386381,7.88840680439842,5.87056190304578,-0.0103303337182167,-0.00239989325596773,-0.0168861544942824,-0.00312681490125869,-0.074750590554415,-0.164852012744783,0.84043185352981,0.915152516419877,0.892289187049735,0.911183979906345,0.903900171824421,0.925398696220056
"humancingidm16porta1secc2somacel10",2.5586922868871,3.65055807944522,3.54113975750357,3.92553293917483,3.87028359739842,3.92719816368056,2.65899134614213,1.04904153924002,0.875700152144902,2.21734554173797,-1.93523031910082,-1.31104300981751,1.45333552106162,-0.963920251432393,-0.999195498822597,-0.962295680181545,-0.986754654468483,-0.973393023065601,-0.861416177339257,2.10853265059896,3.28377946727225,4.76206163004755,4.82858148353119,4.48144277132827,2.96958839088045,3.09700366238387,5.06852561458651,6.784804028132,8.25990949628036,9.02913129666109,8.7424077564233,-0.214047889992307,0.478372423322443,0.558762028321128,0.567352073118648,0.614963146771576,1.00312638017489,1.45970290455898,1.40878997495713,1.35578385350922,1.33978757662738,1.37231767574824,1.43063614691648
"humancingidm16porta1secc2somacel11",1.52930849136778,3.38483240601285,3.51455022244532,3.56423134499911,4.00812818809527,3.45921089485778,2.18921314129888,1.30351269713183,2.56514730159226,2.34977167438797,1.95525405927619,-0.591068737275327,1.61314143053931,-0.958736463354358,-0.998648425432665,-0.991926594309071,-0.973082128450736,-0.933568394377057,-0.841223798193465,2.95265391686447,4.17686949121852,5.20890589684487,6.17707663572921,5.73895826228992,3.58795957813823,3.24256303229642,5.4605313351627,7.21359655710515,8.12279279978896,7.87970813117174,7.22719216501253,0.236093973058075,0.250404280253654,0.266171523872836,0.245915286564698,0.226224851703982,0.118154085551326,1.39504826005041,1.34013496730627,1.30545750672295,1.30639419090989,1.2820102763687,1.29193183690937
"humancingidm16porta1secc2somacel12",1.60469841142204,2.74109537088947,2.90411828813274,2.96821797197497,3.25731338423368,3.09981685242932,2.64458531774925,1.74476254445964,0.489033716317157,-1.7658537209096,3.0960793660015,-1.01631407663444,-2.05161063894699,-0.969442873425137,-0.984547133549359,-0.996803116624557,-0.981984710947867,-0.983362593097998,-0.955631306061828,2.34467250981527,3.41039742639162,4.06572970795929,4.29027936653898,4.09539445737477,2.57029392021184,2.73908452079751,4.7992338481205,6.75799637180213,8.52975426972681,9.2747099641993,8.0084890707922,0.755203147296841,0.441973450500615,0.614833403429404,0.715095215180491,0.609530006269306,0.294761989110958,1.41314872808615,1.43530003258013,1.37397311254735,1.35788694663601,1.35820788576047,1.33367994768792
"humancingidm16porta1secc2somacel15",1.25788316875714,2.49405002355188,2.69587295025481,3.05040113931232,3.25031230634306,2.92591469984325,2.42946426167496,-2.98290851040811,0.880824603226457,1.09215584862881,1.89416569674219,-1.3598936871437,2.18047941508717,-0.988479848972899,-0.978865128078429,-0.996432827405545,-0.99504476700215,-0.974196726048663,-0.998668264669431,2.39663407168319,3.77730058852053,4.58690215695701,4.85127162906412,4.49587391654049,2.52892363942997,2.72028202671574,5.12759085615398,7.03077109352885,8.66515322945109,9.47870707940246,8.91041967828613,0.523368518529356,-2.21033026331457,-0.332654034838247,0.390088534683656,0.320429426414835,-0.106984064642508,1.38190265473696,1.55282534967346,1.49948341869991,1.49299718937863,1.45280460282243,1.43823764894939
"humancingidm16porta1secc2somacel2",2.60396218719249,4.07719853257022,4.49581940422748,4.68920094845733,4.66319635716535,4.26583873589455,2.63826457913098,-0.186055597674371,1.83806037555446,2.24751718074213,-1.62389843770219,-2.36385407326812,-1.20243425096353,-0.981625640288052,-0.921846408490063,-0.999836511730852,-0.998981333440121,-0.985548003325602,-0.973916056750727,3.29354286608745,5.07088898452342,6.29504410855776,6.07577808079579,5.51050129411726,3.60587289664209,3.73398320724539,5.91827377867617,7.29271461138734,7.5979833237314,7.1962241788318,5.64954945366479,1.85467646904135,1.86706219080196,1.0848312410276,1.11545054553652,1.37548772791448,1.75397790906295,1.50791847380031,1.44982862971262,1.46890673886838,1.47262827050268,1.4692203254077,1.43353577434987
"humancingidm16porta1secc2somacel3",2.14341179035692,3.24805645313069,3.34563964340692,3.86885145995239,4.06308508870065,3.55249629786736,3.38260051964675,0.87977232169078,1.85351820299964,1.51048983230795,-2.53967882640771,0.775702032621075,2.23559416112244,-0.999758671184849,-0.984111114982317,-0.971419245462217,-0.992136614567697,-0.966550327066078,-0.999601549490057,2.71584710985679,4.90741835020083,6.34114401659906,6.08335148196402,5.64069616941314,3.3502061291864,2.98919823758845,5.54135904860853,8.18449867356744,10.1101162612898,8.47592753602876,4.99722751677377,0.146079863172515,0.414732331590308,0.373282678870279,0.409491094261304,0.450174058664198,-0.696651787271015,1.45316434157677,1.48203963455736,1.44367398109992,1.40925157617013,1.4138902156776,1.53888561575295
"humancingidm16porta1secc2somacel4",1.3521849110499,2.06396223456909,2.67742642361027,3.05671033033955,3.22019592409483,2.81858702441865,2.34948876126276,1.43632428101275,2.5515271007725,-1.43689570926352,-2.22895352624681,0.770563599943422,-0.641896284822551,-0.941379429450561,-0.991774347892016,-0.968662266228108,-0.985754874808719,-0.998794414149753,-0.611859073910006,2.69139878004061,4.97389185464878,6.2611550150161,6.72465646661682,5.72676775336216,3.59330122120071,2.81118694711983,5.46500604740806,7.43612446006486,7.85133401982872,7.50435846981778,5.89936211368717,-0.384802516361858,-0.00251006296809367,-0.00296549935264422,0.0831362471041322,0.219671365305563,0.196171241035487,1.45880044734051,1.37156578357285,1.30546647680501,1.28375518313644,1.28387293533096,1.20899100067878
"humancingidm16porta1secc2somacel9",1.33999107699561,3.40705543476125,3.54600261383051,3.79507155525457,3.95605543978522,3.42247413628695,2.13802540692702,1.95365911530112,2.34507246893795,0.375818308315831,0.734229420740415,-1.7865515108036,-2.28192893746954,-0.967848611845122,-0.992242685396105,-0.991200115980408,-0.969755447456287,-0.848540642448317,-0.942591306808487,3.07950776621768,4.8124431129098,6.03699463499321,6.14073838733048,5.28700999450491,3.17465368097322,3.41142243475515,5.28278105556406,7.12135684853455,8.15614866218133,8.43966934383309,5.76261321724117,0.417860311702657,-0.0846146926213668,-0.271507679679301,-0.271434738364995,-0.389861939665616,-0.767952048485736,1.45159001683858,1.4328959796292,1.37737298431489,1.35492536508297,1.33974573781365,1.24087055537768
